,Date,Open,High,Low,Close,Adj.Close,Volume,Rate,Variance
36,12/24/2019,NA,NA,NA,NA,NA,NA,NA,NA
37,12/26/2019,3227.5,3244.75,3227,3244.5,3244.5,297971,-0.52672347,0.005499613
38,12/27/2019,3242,3254,3235.5,3237.5,3237.5,464639,0.138803208,0.005706354
39,12/29/2019,3238.25,3241.25,3238,3240.75,3240.75,205702,-0.077202193,0.001003629
40,12/30/2019,3238.25,3244.25,3217.25,3223.5,3223.5,984389,0.455492936,0.008337837
41,12/31/2019,3223.25,3236.25,3213,3231,3231,1124598,-0.240440549,0.007213216
42,1/2/2020,3237,3261.75,3234.25,3259,3259,1157924,-0.679641643,0.008495521
43,1/3/2020,3261,3263.5,3206.75,3235.5,3235.5,1416241,0.781968721,0.017402637
44,1/5/2020,3220.25,3223.75,3216.25,3222.5,3222.5,1101400,-0.069870352,0.002329012
45,1/6/2020,3220.25,3249.5,3208.75,3243.5,3243.5,1755057,-0.721993634,0.012654297
46,1/7/2020,3243.5,3254.5,3226,3235.25,3235.25,1502748,0.254354864,0.008786804
47,1/8/2020,3231.75,3267.75,3181,3260.25,3260.25,1293494,-0.881875145,0.026843042
48,1/9/2020,3261.25,3276.75,3257.75,3276,3276,2279138,-0.452280567,0.005825987
49,1/10/2020,3275.5,3287,3260.75,3264.75,3264.75,1297679,0.328194169,0.008014044
50,1/12/2020,3265.75,3271.5,3265.5,3269.5,3269.5,332775,-0.114828141,0.00183725
51,1/13/2020,3265.75,3291,3265.5,3289.75,3289.75,1533121,-0.7349001,0.007808314
52,1/14/2020,3289.25,3296.75,3275.25,3288,3288,1008998,0.038002584,0.006536444
53,1/15/2020,3287.75,3299,3277.75,3293.75,3293.75,1694799,-0.182495628,0.006463387
54,1/16/2020,3294.25,3318,3294,3316.5,3316.5,1468347,-0.675419291,0.007285422
55,1/17/2020,3316.75,3330.25,3316,3325,3325,1335246,-0.248737469,0.004296374
56,1/19/2020,3325,3326.5,3323.25,3326.5,3326.5,291095,-0.045112782,0.000977444
57,1/21/2020,3325,3329.75,3307.25,3319.5,3319.5,1312253,0.165413534,0.006766917
58,1/22/2020,3321.25,3337.5,3315.25,3319.75,3319.75,1573187,0.045163718,0.006699285
59,1/23/2020,3317.25,3327,3301.25,3326,3326,1505107,-0.263772703,0.007762454
60,1/24/2020,3326.5,3337,3280.5,3293.5,3293.5,1717046,0.992033669,0.016984819
61,1/26/2020,3269.75,3269.75,3252.25,3256.5,3256.5,2768505,0.405229758,0.005352091
62,1/27/2020,3269.75,3269.75,3233,3239.5,3239.5,2515168,0.925147183,0.011239391
63,1/28/2020,3239.5,3285,3238.75,3278.25,3278.25,2581636,-1.196172249,0.014276895
