"","Date","Open","High","Low","Close","Adj.Close","Volume","Rate","Daily_Rate"
"50","1/12/2020",28775,28838,28775,28830,28830,78296,0.002189401,-0.191138140747176
"51","1/13/2020",28775,28907,28775,28871,28871,183361,0.004587315,-0.33362293657689
"52","1/14/2020",28874,29015,28737,28934,28934,141633,0.009628039,-0.207799404308374
"53","1/15/2020",28934,29090,28838,29029,29029,232554,0.008709477,-0.328333448538052
"54","1/16/2020",29034,29263,29032,29240,29240,224025,0.007956189,-0.709512984776469
"55","1/17/2020",29245,29362,29242,29279,29279,152873,0.004103266,-0.116259189605061
"56","1/19/2020",29280,29295,29263,29295,29295,50516,0.001092896,-0.0512295081967213
"57","1/21/2020",29280,29318,29108,29179,29179,170084,0.007172131,0.344945355191257
"58","1/22/2020",29177,29309,29093,29140,29140,238628,0.007403091,0.126812215100936
"59","1/23/2020",29112,29150,28924,29127,29127,192697,0.007763122,-0.051525144270404
"60","1/24/2020",29129,29241,28796,28933,28933,232278,0.015276872,0.672868962202616
"61","1/26/2020",28720,28723,28605,28633,28633,402058,0.004108635,0.302924791086351
"62","1/27/2020",28720,28732,28405,28481,28481,301305,0.011385794,0.832172701949861
"63","1/28/2020",28479,28780,28471,28710,28710,363768,0.0108501,-0.811123986095017
"64","1/29/2020",28736,28888,28650,28710,28710,261243,0.008282294,0.0904788418708241
"65","1/30/2020",28718,28843,28432,28791,28791,235907,0.014311582,-0.254195974650045
"66","1/31/2020",28838,28881,28105,28196,28196,347453,0.02690894,2.22622928081004
"67","2/2/2020",28159,28284,28136,28256,28256,226491,0.005255868,-0.344472459959516
"68","2/3/2020",28159,28573,28136,28361,28361,369128,0.015519017,-0.717355019709507
"69","2/4/2020",28366,28847,28287,28789,28789,269200,0.019741945,-1.49122188535571
"70","2/5/2020",28776,29275,28692,29241,29241,222741,0.020259939,-1.61592994161802
"71","2/6/2020",29248,29475,29186,29328,29328,276317,0.009881018,-0.273522975929978
"72","2/7/2020",29357,29367,29006,29044,29044,238290,0.012296897,1.06618523691113
"73","2/9/2020",29021,29077,28850,28922,28922,173488,0.007821922,0.341132283518831
"74","2/10/2020",29021,29250,28850,29245,29245,228295,0.013783123,-0.771854863719376
"75","2/11/2020",29237,29395,29162,29229,29229,198764,0.007969354,0.0273625885008722
"76","2/12/2020",29261,29538,29209,29523,29523,198861,0.011243635,-0.895389767950514
"77","2/13/2020",29529,29543,29245,29432,29432,172696,0.010091774,0.328490636323614
"78","2/14/2020",29446,29519,29267,29395,29395,220172,0.008558038,0.173198397065815
